date,NBUW,DXBT,KPEL,JMDX,PHRL,QIAO,ZLZM,WJIN,NOKG,JFAI,DQMQ,JTRD,YSCS,TKAD,PFBO,GGUX,YMWW,OVCY,GTIY,BMZL,FLGY,VRMZ,RMSX,KZER,ZURV,UTPJ,FUNW,RFYJ,BNKK,DSJS,IRMF,IRZY,PBDJ,WKXL,BUFI,RPWC,QEAM,UIGI,MKAP,PMFE,NTIW,DGUN,KXPJ,INDR,LZYJ,GLBF,TVXF,STHM,FZPF,DIIJ,HCUY,JKNN,TCUN,ROEQ,KTTB,BTLQ,FCHX,RVSY,KTAD,NZST,YKPU,OZDD,FFBX,IHRO,LRAW,HRMI,FIXI,KFZA,PVNQ,PIVW,ZDSW,MVLW,VDCL,WATA,GUUW,HLOI,SBCP,QIJN,IWYW,FIEP,GGFP,OWQF,RWHY,PTHJ,IHXT,CCOD,WJIV,ZFIF,YGUK,WBDC,NNKR,KZFJ,YCTF,MIXE,HQXF,VPCN,CYIQ,EVDG,CNPB,WQGP,Total,Day,Weekday,WeekYear
2010/01/01,14609.81,14025.42,14317.61,14609.81,13879.32,15778.59,14317.62,13733.22,14755.91,15340.3,14171.52,14609.81,15048.11,14025.42,14755.91,15194.2,15778.6,14609.81,14463.71,14609.81,14755.91,14463.71,14463.71,14609.81,14025.42,15048.1,14463.71,14025.42,14463.71,15486.4,15486.4,14463.71,14463.71,14755.91,14609.81,14609.81,14609.81,13733.22,14609.81,14902.01,14755.91,14025.42,15048.1,14463.71,15048.11,15048.11,14755.91,14463.71,13879.32,14755.91,14755.91,14755.91,14463.71,14609.81,14755.91,14463.71,14317.61,14171.52,14463.71,14171.52,14171.52,14463.71,14463.71,15048.1,14755.91,14463.71,14463.71,15340.3,14317.61,14025.42,14755.91,14902.01,14609.81,15048.11,14171.52,14755.91,15048.1,14463.71,14463.71,13733.22,14171.52,15048.11,15048.1,14609.81,15048.11,13294.93,14902.01,13879.32,14317.62,15194.2,14755.91,14755.91,14317.61,13879.32,13733.22,14755.91,14755.91,15486.4,14171.52,14317.61,1457766.9000000006,1,4,00
2010/01/02,15634.4,14319.36,14757.71,14757.71,14319.36,15049.94,14757.7,14611.59,14611.59,14173.24,14465.48,14611.59,14611.59,15049.94,14319.36,14173.25,14611.59,14611.6,14027.13,13588.78,14027.13,14611.59,15049.94,15634.4,14903.83,13881.02,14027.13,14465.47,14611.59,14027.13,14465.47,15049.94,14319.37,15342.18,14173.25,14757.71,14903.83,14465.48,14465.48,14757.71,15196.05,14611.59,14465.48,14027.13,15049.94,15196.05,14757.71,14319.36,15049.94,15049.95,15342.17,14757.7,15049.94,14465.47,14319.36,14903.83,13296.56,14173.25,14611.59,14903.82,15049.94,14465.48,14465.47,14173.25,14465.47,14757.7,14611.59,14611.59,14757.71,14465.48,14611.6,15049.94,15049.94,14465.47,14173.25,15342.17,15342.18,15049.94,14611.59,14319.36,13588.77,14757.7,14465.48,15488.29,14903.82,15049.95,14757.7,14465.47,14611.59,14611.59,15342.17,15196.06,15049.94,15049.94,14319.36,14465.48,14465.48,14465.48,14611.59,14027.14,1464081.5699999991,2,5,00
2010/01/03,14611.2,14611.2,14026.75,14026.75,14611.2,14318.97,14757.31,14903.42,13588.42,14757.32,13588.41,14465.08,14611.2,14757.31,14611.2,14903.42,14757.31,14903.41,15049.52,15049.53,15049.53,14465.08,14611.2,15049.54,15049.53,14611.19,15195.64,14611.2,15195.64,14757.3,14611.2,15341.76,14172.85,14757.3,15049.53,14903.42,14172.86,15049.53,14318.97,14757.31,14903.42,14172.86,14757.3,14172.86,14465.09,14465.09,14465.08,15195.64,13880.64,14026.74,14611.19,15341.76,14757.31,14172.86,14757.31,14026.74,14026.74,14903.42,14318.97,15341.76,14757.31,14757.3,13880.64,14611.19,14757.31,14611.2,14318.98,14026.75,14757.31,14318.97,15341.75,15487.87,13880.64,14465.09,15195.64,14026.76,14465.08,15049.54,14465.09,14611.19,15195.65,14757.31,14318.97,15487.86,14172.86,14903.41,14757.31,14611.2,14318.98,14465.09,14318.97,15049.53,14318.97,15341.76,15049.53,14318.97,14465.08,15487.87,14465.09,14757.3,1463749.6100000008,3,6,00
2010/01/04,14029.2,15052.17,14321.48,14467.62,14467.62,14613.76,14759.89,14906.03,13883.06,14175.34,14759.9,14613.76,13736.93,14613.76,15052.17,15198.31,13590.79,15052.18,14613.76,15198.31,13736.93,15052.17,14613.75,14321.48,14613.76,15052.18,14613.76,14467.61,14759.89,14613.76,14613.75,14467.62,14321.49,15490.59,14175.35,14321.48,15490.58,14467.62,15344.44,14467.62,14759.89,14613.76,15198.31,14759.89,14029.21,14321.48,14613.76,15344.44,14906.03,14321.49,14321.48,14613.75,14175.35,14906.03,16367.41,14321.49,14906.04,14906.03,14467.62,14613.76,14906.03,15344.45,14321.47,13298.52,14467.62,15052.16,14175.34,14175.34,14175.34,15198.31,15490.59,14321.48,14613.75,15198.3,15198.31,14467.61,14467.63,14613.75,14906.03,14759.9,14759.88,15052.17,14467.63,14321.49,13736.93,14467.63,13736.93,14906.03,14321.48,14759.89,14613.75,15198.31,14906.03,13883.06,14613.76,14759.9,14613.76,14906.03,14906.03,14029.22,1462690.9299999995,4,0,01
2010/01/05,14175.13,14028.99,14321.26,14321.26,14759.67,14175.12,14613.54,15051.94,14905.81,15782.62,15051.94,15198.07,15051.94,14759.67,14613.53,14467.4,14467.4,14321.26,14467.39,15051.94,15051.94,14175.13,14613.54,15344.21,14759.67,14613.53,15051.94,15198.08,13590.59,14321.26,14467.4,14321.26,14905.8,14759.66,14175.13,14613.53,14759.67,14321.26,14759.67,14028.99,15344.21,14759.67,14467.4,14467.4,14613.53,14905.81,15198.07,14905.8,14467.4,15782.61,15051.94,15782.62,13736.72,14321.26,14175.13,14905.8,14321.26,14905.8,15636.48,14321.26,13590.59,14175.12,14029,14905.8,14759.67,15051.94,14321.27,14905.8,14613.53,14467.39,14905.8,14467.4,14905.81,14613.53,14467.39,13736.73,15490.34,14905.81,14028.99,14467.4,14905.81,14175.13,15490.34,14175.12,14613.53,14759.66,13736.72,14321.26,14905.81,14321.27,14759.67,14467.4,14028.99,14175.13,14175.13,15782.61,14905.8,15198.07,14613.53,15636.47,1465445.0700000003,5,1,01
2010/01/06,15053.48,14030.42,14907.33,15053.48,15053.48,14468.88,14907.33,15053.48,14615.03,14615.03,14322.73,14907.33,14907.33,14761.18,15053.48,14322.73,14615.03,14615.03,14761.18,14907.33,14761.18,14615.03,14468.88,14761.18,14761.18,15053.48,15638.08,14907.33,14176.58,14176.58,14468.88,14468.88,13738.12,14030.43,14615.03,14322.73,14615.03,15345.78,14761.18,14907.33,14907.33,13884.27,14615.03,15053.48,14322.73,14468.88,15345.78,14761.18,13738.12,14615.03,14615.03,14761.18,14468.88,15053.48,14907.33,14322.73,15199.63,14907.33,14468.88,15053.48,14322.73,14468.88,14761.18,14468.88,13738.12,14030.42,14322.73,14615.03,14907.33,14176.58,14468.88,14322.73,14030.42,15199.63,15053.48,15199.63,14907.33,13884.27,14322.73,14468.88,15053.48,14176.58,14615.03,14907.33,14761.18,14322.73,14030.42,14761.18,14468.88,15199.63,14322.73,14030.43,14468.88,14761.18,14176.58,14615.03,14176.58,14468.88,14907.33,14761.18,1461649.0599999994,6,2,01
2010/01/07,13739.44,14762.58,14616.42,14908.75,14762.59,13885.6,13593.27,15054.92,14324.09,14324.09,14324.1,14324.09,15347.24,14177.93,14616.42,14616.43,13885.6,14324.1,14616.43,14908.75,14616.42,14616.42,14177.93,15639.57,14470.26,14762.59,14324.1,14031.76,14470.26,14908.75,14762.59,15201.08,14908.76,14616.43,14324.1,14908.75,14177.93,14177.93,13885.6,14616.42,15639.57,15201.08,14324.1,15054.91,14031.77,14031.76,14324.1,14908.75,14177.93,14616.43,14762.59,14324.09,14762.59,14324.09,14470.26,14616.43,14762.59,14616.42,14324.09,14762.59,14616.42,14762.59,14031.76,14908.75,14177.93,14762.58,14908.75,14762.59,15054.92,15347.25,13885.6,14616.42,14908.75,14762.59,13885.6,13739.43,14908.76,13739.44,14324.09,15347.25,14177.92,14470.26,14177.93,15054.92,14324.09,14324.1,14470.26,14324.09,15347.24,14762.58,14762.59,15054.92,14470.26,14762.58,14470.26,14470.26,14031.77,14762.59,14177.93,14908.76,1455503.4100000004,7,3,01
2010/01/08,14908.59,14908.59,14177.78,14616.27,14177.78,14177.77,14762.43,14908.59,15054.76,14908.6,14616.26,14762.43,14470.1,14323.94,14762.43,14616.26,14908.59,14616.26,14616.26,15347.07,14762.43,14762.43,14177.78,14177.78,14762.42,14031.61,14908.59,14616.27,14470.1,14616.26,14470.1,14323.94,14470.1,14762.42,14323.94,14616.27,14470.1,15347.08,14323.94,15200.92,15200.92,14908.59,14323.94,14031.62,14616.27,14616.27,14323.94,14323.94,14323.94,15054.75,14762.42,15054.76,14323.94,14177.78,14762.43,14177.77,14762.42,14762.42,14323.94,13885.45,14616.27,14470.1,14762.44,15054.75,14762.43,14177.78,13885.46,15054.75,15200.92,14616.26,14762.42,15054.76,14323.94,14323.94,14616.26,14323.95,14762.42,15054.76,15347.08,14177.77,14908.6,14031.62,15054.75,14762.42,14177.78,15200.91,14031.62,14908.59,14177.78,15347.08,14323.94,14908.59,14470.1,14762.43,15200.91,14470.1,14908.59,15493.24,14908.59,14762.42,1464111.2700000003,8,4,01
2010/01/09,14180.24,14326.43,14472.62,14472.62,15057.38,14765.01,14764.99,14618.81,14764.99,14764.99,14911.19,14326.44,14618.81,15349.75,14765,14618.82,15057.38,15203.57,14180.25,14911.19,14034.06,14911.19,14326.43,14472.62,14326.44,15642.13,15203.57,15057.37,14911.19,15057.38,14326.43,14618.81,14618.82,14326.45,14472.63,13741.68,14911.19,14472.63,14618.81,14618.81,14472.62,14180.25,14180.25,14765,14034.06,14326.43,14326.44,14180.25,14765,14472.63,14911.19,14472.62,14472.63,14326.43,14765,14472.63,14765.01,14911.19,14618.81,14911.19,14911.19,15349.76,14764.99,13741.69,13741.68,14618.8,14472.62,14326.44,14765,14911.19,14472.63,14472.62,14911.18,14911.19,16080.7,14764.99,14180.26,14472.62,14618.81,14765,14326.43,14326.43,14326.44,14618.82,14765,14180.25,13741.68,14326.43,14765,14180.24,14618.81,14618.81,15203.57,15057.37,14472.63,14911.19,14034.06,14326.44,14765,14911.2,1460857.91,9,5,01
2010/01/10,14179.83,14618.38,13741.27,14910.74,14326.01,14326,15495.48,14764.56,14764.56,15349.3,13887.45,14179.82,14472.19,15056.92,14472.19,15203.11,14179.82,14179.82,14326,14472.19,14033.64,14472.19,15349.3,14910.75,14618.37,14910.74,14618.37,14326.01,13887.46,14910.74,14764.56,14326.01,14472.18,14764.55,14179.82,14472.19,14618.37,14472.19,14472.19,14326.01,14326.01,14326,14326,14910.74,14618.37,14618.38,15495.47,15056.93,14033.64,14472.18,14326,15495.48,14618.37,14910.74,14910.74,14764.55,14764.55,14618.37,14472.19,14472.19,14764.56,13887.45,15056.93,14472.19,15349.29,14472.2,15349.3,14033.64,14179.82,14764.55,14618.37,14326.01,14472.19,14179.82,14472.19,14326.01,14033.63,14179.83,14764.56,13595.08,15056.93,15056.93,14910.74,14033.63,14033.64,14472.18,14472.19,14326.01,13448.91,15056.93,14764.56,14618.37,14764.56,14179.83,14910.74,14764.55,14326,14326,14033.64,15056.92,1455259.0599999996,10,6,01
